Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,75.18560028076172,75.18560028076172,74.1594009399414,74.98600006103516,74.98600006103516,0
2022-01-04,74.372802734375,75.56800079345703,74.36129760742188,74.3718032836914,74.3718032836914,0
2022-01-05,75.26300048828125,76.1229019165039,75.16899871826172,75.26300048828125,75.26300048828125,0
2022-01-06,76.6615982055664,77.29170227050781,76.043701171875,76.6615982055664,76.6615982055664,0
2022-01-07,76.33439636230469,76.47599792480469,75.0790023803711,76.35369873046875,76.35369873046875,0
2022-01-10,75.29029846191406,75.75489807128906,74.8302993774414,75.44599914550781,75.44599914550781,0
2022-01-11,74.8740005493164,75.09809875488281,74.47959899902344,74.85600280761719,74.85600280761719,0
2022-01-12,74.4905014038086,74.88600158691406,74.28919982910156,74.45369720458984,74.45369720458984,0
2022-01-13,74.5645980834961,76.53299713134766,74.46199798583984,74.56449890136719,74.56449890136719,0
2022-01-14,76.30729675292969,76.9469985961914,75.58000183105469,76.30599975585938,76.30599975585938,0
2022-01-17,76.30650329589844,76.7699966430664,75.60199737548828,76.32450103759766,76.32450103759766,0
2022-01-18,76.06199645996094,76.84100341796875,75.84539794921875,76.06199645996094,76.06199645996094,0
2022-01-19,76.80850219726562,77.1355972290039,75.84500122070312,76.80850219726562,76.80850219726562,0
2022-01-20,76.31929779052734,76.76899719238281,75.98249816894531,76.31659698486328,76.31659698486328,0
2022-01-21,76.74739837646484,77.4489974975586,76.27300262451172,76.09130096435547,76.09130096435547,0
2022-01-24,77.3770980834961,79.47599792480469,76.97000122070312,77.40599822998047,77.40599822998047,0
2022-01-25,78.61250305175781,79.30400085449219,78.23600006103516,78.65350341796875,78.65350341796875,0
2022-01-26,78.73570251464844,80.27899932861328,78.50399780273438,78.73570251464844,78.73570251464844,0
2022-01-27,79.22019958496094,79.7040023803711,77.40799713134766,79.19960021972656,79.19960021972656,0
2022-01-28,78.07250213623047,78.28600311279297,77.40139770507812,78.07250213623047,78.07250213623047,0
2022-01-31,77.87799835205078,77.96170043945312,77.2665023803711,77.73580169677734,77.73580169677734,0
2022-02-01,77.30390167236328,77.6260986328125,76.4343032836914,77.30780029296875,77.30780029296875,0
2022-02-02,76.69159698486328,76.76950073242188,75.67400360107422,76.69159698486328,76.69159698486328,0
2022-02-03,76.15450286865234,76.78500366210938,76.12300109863281,76.1729965209961,76.1729965209961,0
2022-02-04,76.41280364990234,76.44200134277344,75.64900207519531,76.4114990234375,76.4114990234375,0
2022-02-07,75.86380004882812,76.01139831542969,75.3667984008789,75.82779693603516,75.82779693603516,0
2022-02-08,75.41400146484375,75.58300018310547,74.97129821777344,75.41739654541016,75.41739654541016,0
2022-02-09,75.08439636230469,75.1426010131836,74.53559875488281,75.0354995727539,75.0354995727539,0
2022-02-10,74.71209716796875,74.92669677734375,74.24600219726562,74.71019744873047,74.71019744873047,0
2022-02-11,75.0282974243164,76.15399932861328,74.81099700927734,75.02729797363281,75.02729797363281,0
